  
       XFOIL         Version 7.00
  
 Calculated polar for: NACA 2312                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.500     Re =     4.600 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM      Top_Xtr  Bot_Xtr   Top_Itr  Bot_Itr  
  ------ -------- --------- --------- --------  -------- --------  -------- --------  
  -4.000  -0.2766   0.00699  -0.00616  -0.0541    0.6437  36.7306   0.0350 145.7798
  -3.500  -0.2077   0.00682  -0.00481  -0.0531    0.6048  40.2290   0.0427 147.6462
  -3.000  -0.1394   0.00670  -0.00378  -0.0523    0.5650  43.8113   0.0531 149.7414
  -2.500  -0.0714   0.00660  -0.00300  -0.0517    0.5264  47.2987   0.0668 151.9835
  -2.000  -0.0039   0.00652  -0.00243  -0.0512    0.4885  50.7155   0.0863 154.5545
  -1.500   0.0634   0.00646  -0.00202  -0.0508    0.4536  53.8841   0.1114 157.3666
  -1.000   0.1307   0.00640  -0.00175  -0.0505    0.4230  56.6591   0.1439 160.6125
  -0.500   0.1978   0.00634  -0.00160  -0.0502    0.3973  59.0067   0.1849 164.4504
   0.000   0.2650   0.00625  -0.00155  -0.0500    0.3769  60.8692   0.2396 169.3706
   0.500   0.3310   0.00596  -0.00162  -0.0498    0.3608  62.3432   0.3631 180.3789
   1.000   0.3972   0.00572  -0.00176  -0.0495    0.3470  63.6154   0.4881 191.5031
   1.500   0.4644   0.00563  -0.00197  -0.0493    0.3345  64.7706   0.5722 198.9172
   2.000   0.5318   0.00556  -0.00230  -0.0490    0.3225  65.8907   0.6541 206.1010
   2.500   0.5993   0.00554  -0.00275  -0.0487    0.3100  67.0606   0.7299 212.7323
   3.000   0.6666   0.00553  -0.00334  -0.0480    0.2945  68.5310   0.8079 219.5554
   3.500   0.7322   0.00561  -0.00407  -0.0469    0.2722  70.6799   0.8831 226.1514
   4.500   0.8564   0.00624  -0.00600  -0.0426    0.2098  76.8450   0.9744 235.2183
   5.000   0.9244   0.00684  -0.00737  -0.0416    0.1675  81.1550   0.9892 237.5727
   5.500   0.9977   0.00764  -0.00909  -0.0417    0.1203  86.2132   0.9965 239.0525
   6.000   1.0747   0.00853  -0.01130  -0.0422    0.0798  91.0834   0.9993 239.8003
   6.500   1.1344   0.00928  -0.01375  -0.0389    0.0561  94.6081   1.0000 240.0000
   7.000   1.1925   0.01001  -0.01671  -0.0349    0.0414  97.4436   1.0000 240.0000
   7.500   1.2531   0.01079  -0.02036  -0.0311    0.0319  99.7947   1.0000 240.0000
   8.000   1.3138   0.01162  -0.02475  -0.0271    0.0256 101.6912   1.0000 240.0000
   8.500   1.3725   0.01257  -0.02984  -0.0224    0.0214 103.2254   1.0000 240.0000
   9.000   1.4251   0.01367  -0.03547  -0.0165    0.0185 104.3954   1.0000 240.0000
   9.500   1.4670   0.01508  -0.04112  -0.0091    0.0166 105.2681   1.0000 240.0000
  10.000   1.5002   0.01719  -0.04644  -0.0015    0.0153 105.8645   1.0000 240.0000
  10.500   1.5145   0.02074  -0.04942   0.0061    0.0147 106.1799   1.0000 240.0000
  11.000   1.5063   0.02669  -0.04810   0.0113    0.0142 106.4423   1.0000 240.0000
  11.500   1.4822   0.03531  -0.04235   0.0123    0.0138 106.6323   1.0000 240.0000
  12.000   1.4496   0.04567  -0.03360   0.0104    0.0135 106.7941   1.0000 240.0000
